Name,Gender,Gender,Grade,Math,Science,English,Total,Attendance
Advika,  Male  ,Female,1,25 marks,70,73,168,80
"""Advika""",FeMale,Male,5,37,60 marks,77,174,77
NAVYA,Maleale,F,1,70,81,50,201,83
"""Rohan""",F,M,8,44,14 marks,96 marks,154,88
"""Reyansh""",Male,Male,1,60,23,54,137,93
ADVIKA,Maleale,F,1,84,13,53,150,87
'Aryan',F,M,Grade 9,98,43,100 marks,241,84
'Rohan',Male,m,Grade 12,13 marks,97 marks,30,140,85
'Kabir',Male,1,4,11,31 marks,8 marks,50,99
"""Rohan""",1,female,Grade 10,71,55,46 marks,172,90
DIYA,feMale,Female,8,14,73,50,137,92
"""Reyansh""",FeMale,0,1,32,45,1 marks,78,73
VIHAAN,0,female,9,98 marks,55,98,251,91
Krishna,feMale,Female,9,87,94 marks,30,211,93
'Shaurya',FeMale,0,6,72,14,33,119,73
'Shaurya',0,f,4,71 marks,99 marks,83,253,82
ADITI,f,0,6,25 marks,64 marks,17,106,73
'Ananya',0,  M  ,2,72 marks,8,29,109,71
'Rohan',  Male  ,F,12,66,70 marks,14,150,79
"""Reyansh""",F,male,Grade 9,87,80,8,175,85
Ananya,Male,female,Grade 11,18 marks,91,50 marks,159,73
'Krishna',feMale,m,8,88 marks,22,51 marks,161,76
SHAURYA,Male,f,Grade 4,38,48,97,183,89
'Shaurya',f,m,Grade 9,35,95,13 marks,143,86
Aryan,Male,female,6,0,9 marks,92 marks,101,100
ROHAN,feMale,  F  ,Grade 12,85 marks,44,30,159,100
'Reyansh',  F  ,m,1,44 marks,20,35 marks,99,72
ISHA,Male,female,Grade 2,57 marks,56,54,167,99
Ishaan,feMale,1,2,63 marks,25,61,149,72
"""Vihaan""",1,f,Grade 12,95,76 marks,96,267,73
ARYAN,f,Male,Grade 11,6,37 marks,72 marks,115,72
'Advika',Maleale,m,8,27,5,29 marks,61,86
'Ishaan',Male,F,1,88 marks,62,27,177,70
Advika,F,m,6,7 marks,10,13,30,86
MYRA,Male,  M  ,12,63 marks,48 marks,94 marks,205,86
NAVYA,  Male  ,M,Grade 1,47 marks,68 marks,57,172,92
"""Aryan""",Male,M,6,37 marks,39,51 marks,127,70
REYANSH,Male,F,Grade 3,90,73 marks,95,258,100
"""Shaurya""",F,M,12,40 marks,73,47,160,85
Myra,Male,0,8,43,73,21,137,75
Saanvi,0,Male,12,93,60 marks,55 marks,208,95
ROHAN,Maleale,0,8,75,72 marks,93,240,100
Saanvi,0,Male,Grade 9,48 marks,31,10 marks,89,92
"""Diya""",Maleale,male,11,100,35 marks,40 marks,175,85
"""Navya""",Male,M,11,3 marks,28,49,80,95
'Advika',Male,female,1,48 marks,31,60 marks,139,91
Anika,feMale,0,10,78,59 marks,85,222,98
KRISHNA,0,1,3,46,13 marks,8,67,71
"""Reyansh""",1,Male,4,53,68,59 marks,180,83
Advika,Maleale,m,10,66,53 marks,19,138,73
Ishaan,Male,M,Grade 8,73,66,72,211,71
ZARA,Male,  M  ,5,27 marks,52,74 marks,153,85
Aryan,  Male  ,  M  ,10,77,21 marks,86,184,71
"""Isha""",  Male  ,m,2,92,100 marks,24,216,72
Shaurya,Male,male,5,67 marks,44 marks,86,197,81
'Shaurya',Male,male,6,48,2 marks,78 marks,128,100
'Reyansh',Male,f,3,32,10,65,107,81
"""Isha""",f,  F  ,Grade 1,30,34,42 marks,106,85
SHAURYA,  F  ,0,Grade 9,88,16 marks,69,173,78
NAVYA,0,m,7,51 marks,78,89,218,99
ADVIKA,Male,1,Grade 5,87,75 marks,27,189,84
Zara,1,Female,6,87,55,4 marks,146,79
Rohan,FeMale,  F  ,3,42,59 marks,3 marks,104,83
Advika,  F  ,  F  ,Grade 9,35,11 marks,8 marks,54,93
Vihaan,  F  ,m,Grade 2,4,9,17,30,98
"""Isha""",Male,0,Grade 4,60 marks,48,4,112,95
SAANVI,0,1,Grade 2,54,30 marks,96 marks,180,91
ISHA,1,  F  ,Grade 6,81,27,53,161,75
'Ishaan',  F  ,Female,5,14,24,84,122,78
'Navya',FeMale,f,1,88,82,28,198,88
Shaurya,f,F,6,78,71,13,162,100
Ananya,F,f,2,26,15,20,61,79
Aryan,f,  F  ,5,1 marks,47,74,122,95
"""Isha""",  F  ,  F  ,4,39,37 marks,32 marks,108,82
'Zara',  F  ,  F  ,Grade 6,55 marks,100,82,237,70
Navya,  F  ,m,1,52,85,89 marks,226,74
NAVYA,Male,  M  ,11,24,82,85 marks,191,92
Isha,  Male  ,f,7,27 marks,61,31,119,81
ARJUN,f,  M  ,4,92,17 marks,11,120,72
"""Isha""",  Male  ,F,11,45 marks,46 marks,32,123,73
'Ishaan',F,0,9,18 marks,52,77,147,74
SAANVI,0,F,Grade 9,54,18 marks,92 marks,164,87
"""Navya""",F,0,7,58,74 marks,21,153,97
VIHAAN,0,  F  ,3,90,33 marks,53,176,95
'Aditi',  F  ,female,3,45,32 marks,30,107,71
'Vihaan',feMale,Male,2,6,48 marks,9 marks,63,90
Anika,Maleale,1,3,69 marks,97,98,264,80
'Ananya',1,F,1,15,39,84 marks,138,79
Vihaan,F,  M  ,7,41,19,11,71,90
Kabir,  Male  ,Female,9,88 marks,4 marks,36 marks,128,96
"""Arjun""",FeMale,  F  ,Grade 3,14 marks,56,60,130,73
"""Reyansh""",  F  ,female,12,13,88,21,122,90
'Myra',feMale,F,Grade 10,79,43,9 marks,131,71
Aditi,F,f,2,74 marks,52,54,180,91
'Kabir',f,Male,3,41 marks,58,6 marks,105,100
ADITI,Maleale,1,12,33,8 marks,1,42,88
Reyansh,1,m,8,29,48,68 marks,145,72
'Navya',Male,M,9,94 marks,59 marks,50,203,80
"""Aryan""",Male,Male,3,19,49,66 marks,134,79
ISHAAN,Maleale,F,12,22 marks,73,71 marks,166,84
'Advika',F,1,12,14,85 marks,54,153,88
"""Aarav""",1,f,Grade 3,0,77,77,154,88
Zara,f,male,2,40,48,41,129,97
'Reyansh',Male,female,Grade 12,8,36,48,92,97
Rohan,feMale,male,Grade 2,3 marks,50 marks,45,98,76
Aryan,Male,female,9,87,20 marks,56,163,93
ISHA,feMale,f,2,76,52,24,152,89
'Vihaan',f,Male,5,27,52,12 marks,91,90
ARYAN,Maleale,f,Grade 4,25,96 marks,82 marks,203,73
Reyansh,f,female,2,12,65,41 marks,118,73
"""Rohan""",feMale,F,9,45 marks,38,50,133,88
KABIR,F,female,9,34,25 marks,4,63,90
"""Rohan""",feMale,m,2,63,24,87,174,73
Isha,Male,Male,Grade 4,33 marks,72,65,170,87
'Shaurya',Maleale,F,11,97 marks,51,24,172,75
"""Advika""",F,female,Grade 9,52,41 marks,58,151,96
Reyansh,feMale,f,Grade 7,22,26,72,120,88
Krishna,f,Female,Grade 10,33,19 marks,5,57,89
"""Navya""",FeMale,1,Grade 2,7 marks,87 marks,68,162,99
"""Shaurya""",1,Female,6,84,57,27,168,90
ANIKA,FeMale,Female,4,74,42,51,167,83
Reyansh,FeMale,  F  ,Grade 3,94,7,4 marks,105,96
'Kabir',  F  ,F,8,44 marks,28 marks,9,81,92
Aryan,F,female,1,44 marks,40 marks,31,115,90
'Navya',feMale,1,6,97,53 marks,4,154,86
"""Myra""",1,female,8,20 marks,37,46 marks,103,79
ADVIKA,feMale,Male,4,21 marks,61,100,182,72
'Reyansh',Maleale,Male,8,29,75,24 marks,128,98
'Arjun',Maleale,female,7,43,68,46,157,92
Vihaan,feMale,F,Grade 7,8 marks,79,99,186,76
"""Myra""",F,M,Grade 6,23 marks,9,90,122,81
'Aditi',Male,  F  ,3,24,92,93 marks,209,70
Rohan,  F  ,  F  ,Grade 7,66 marks,9,47,122,72
Shaurya,  F  ,1,Grade 12,18 marks,29,17 marks,64,89
KABIR,1,  F  ,Grade 9,81,19,31,131,82
'Navya',  F  ,f,1,77 marks,5,88,170,82
VIHAAN,f,  M  ,5,6 marks,84 marks,87 marks,177,84
'Isha',  Male  ,F,8,51 marks,30 marks,30 marks,111,72
'Krishna',F,Male,Grade 11,20 marks,36,15,71,99
Krishna,Maleale,M,Grade 4,27,9,55,91,83
Aditi,Male,Male,11,44,18,61 marks,123,95
Rohan,Maleale,Male,Grade 2,90 marks,41 marks,54,185,84
'Shaurya',Maleale,0,1,83 marks,91,88 marks,262,90
"""Ananya""",0,M,3,90,32,49,171,83
Rohan,Male,1,2,30,75,37,142,82
'Isha',1,female,6,15 marks,89,37,141,93
"""Vihaan""",feMale,  F  ,Grade 5,50,98 marks,99 marks,247,71
"""Navya""",  F  ,f,11,1 marks,57 marks,18,76,80
'Krishna',f,m,7,45,64 marks,2 marks,111,97
Zara,Male,f,4,21,39 marks,21 marks,81,100
'Aditi',f,Male,Grade 7,86,62,93,241,92
'Anika',Maleale,m,Grade 7,23,75 marks,70,168,94
'Aarav',Male,  F  ,12,70,47,21 marks,138,79
Vihaan,  F  ,F,7,56 marks,2,46 marks,104,82
DIYA,F,  M  ,12,5,10 marks,62,77,85
'Navya',  Male  ,m,9,59,51,2 marks,112,84
'Zara',Male,female,Grade 6,29 marks,17,24 marks,70,95
Vihaan,feMale,0,4,98 marks,86 marks,31,215,76
ARYAN,0,male,Grade 3,24 marks,72,72,168,86
"""Krishna""",Male,female,11,10 marks,11,50 marks,71,70
Aarav,feMale,f,4,39 marks,84,54,177,78
"""Ananya""",f,  F  ,Grade 9,48 marks,58,31,137,88
"""Aditi""",  F  ,f,9,71,92 marks,55,218,96
'Advika',f,Female,12,61 marks,3 marks,29,93,98
ISHA,FeMale,Male,4,56,29,10,95,79
'Reyansh',Maleale,m,6,66 marks,58,55 marks,179,70
SHAURYA,Male,Female,7,65 marks,29 marks,20,114,71
"""Diya""",FeMale,male,5,46,43,15,104,97
'Kabir',Male,F,1,16 marks,84,9 marks,109,98
'Aditi',F,Male,6,74,0,48 marks,122,92
"""Aryan""",Maleale,M,Grade 3,69,41 marks,88 marks,198,97
ARYAN,Male,male,4,43,91 marks,19 marks,153,98
'Aarav',Male,female,Grade 12,66,53,19 marks,138,73
"""Isha""",feMale,  F  ,Grade 4,9,41,100 marks,150,76
Shaurya,  F  ,Female,Grade 4,100,93,81,274,75
ISHA,FeMale,Female,4,11,84,83,178,72
'Navya',FeMale,  M  ,7,40 marks,68 marks,82,190,93
"""Shaurya""",  Male  ,M,5,64,95 marks,89,248,89
"""Advika""",Male,F,5,71,41,40,152,97
Kabir,F,1,Grade 4,96,14,49 marks,159,88
'Krishna',1,female,11,54,39,29,122,72
'Aarav',feMale,Female,2,70 marks,47,15,132,95
Advika,FeMale,1,Grade 7,60 marks,54,0 marks,114,76
ADVIKA,1,Female,9,23,64,92,179,79
'Myra',FeMale,  F  ,11,17,50,81,148,90
'Krishna',  F  ,Female,1,95,95 marks,52 marks,242,89
'Myra',FeMale,1,8,35,91,58,184,85
NAVYA,1,m,6,94,96,94,284,95
Ishaan,Male,Female,6,32,28 marks,43 marks,103,73
"""Rohan""",FeMale,M,Grade 1,9 marks,21,91 marks,121,90
'Aarav',Male,1,9,35,8,59,102,72
KABIR,1,  F  ,7,19 marks,58,8 marks,85,97
MYRA,  F  ,0,4,28,57 marks,88,173,87
"""Anika""",0,M,9,3,8,36 marks,47,78
VIHAAN,Male,  F  ,10,99 marks,99,84,282,73
Aditi,  F  ,F,10,89 marks,79,0,168,93
ZARA,F,M,3,71,36 marks,48 marks,155,91
ADVIKA,Male,Male,2,82,24,71,177,87
"""Rohan""",Maleale,  M  ,3,27 marks,67 marks,16 marks,110,83
'Myra',  Male  ,M,Grade 2,100,82,1,183,85
ZARA,Male,1,3,98,53,21,172,85
ADVIKA,1,M,5,86 marks,48,86,220,75
KRISHNA,Male,male,11,59,65,44 marks,168,93
Ishaan,Male,0,8,26 marks,89,10 marks,125,100
"""Krishna""",0,m,4,36,84 marks,34,154,87
ANANYA,Male,f,10,89 marks,27 marks,55,171,92
'Advika',f,male,Grade 11,74 marks,66 marks,66,206,73
Vihaan,Male,  M  ,9,63,22,81,166,89
'Advika',  Male  ,female,Grade 3,57,9 marks,37,103,96
"""Shaurya""",feMale,1,Grade 10,89,2,74,165,86
ARYAN,1,Male,Grade 2,45,87,6,138,94
"""Ananya""",Maleale,m,Grade 1,9 marks,2,48,59,75
"""Ishaan""",Male,female,11,20,95,77,192,77
"""Advika""",feMale,F,Grade 2,56 marks,11,90 marks,157,88
'Krishna',F,Male,Grade 2,57 marks,76,25,158,95
"""Anika""",Maleale,f,Grade 5,63,37 marks,74,174,92
"""Rohan""",f,  F  ,5,93,80 marks,63,236,95
'Ishaan',  F  ,f,9,70,2,50,122,91
'Navya',f,1,8,31,48,22,101,81
"""Reyansh""",1,female,5,66,63 marks,51 marks,180,82
'Krishna',feMale,F,1,55 marks,63,1,119,97
"""Shaurya""",F,  F  ,10,95,60,24,179,83
Vihaan,  F  ,  F  ,Grade 9,29,96,15,140,97
'Zara',  F  ,Female,6,28,76,95,199,88
Kabir,FeMale,f,Grade 6,30,33,66,129,84
'Aditi',f,f,11,88 marks,61,66,215,89
NAVYA,f,F,Grade 12,36 marks,2 marks,27,65,90
'Saanvi',F,F,Grade 4,5 marks,89 marks,99 marks,193,87
Rohan,F,female,2,88,42,66 marks,196,80
'Navya',feMale,0,3,84,3,0 marks,87,79
"""Krishna""",0,female,10,24,53 marks,95 marks,172,88
ADITI,feMale,f,10,74 marks,78 marks,25,177,91
"""Saanvi""",f,f,1,70 marks,72,73 marks,215,71
Aryan,f,m,4,81,40,82,203,89
ADITI,Male,f,10,57,85 marks,85,227,73
KABIR,f,f,1,36,32,97 marks,165,73
ISHAAN,f,female,9,33 marks,54 marks,33 marks,120,73
"""Krishna""",feMale,  F  ,Grade 11,69,21 marks,80,170,70
"""Aryan""",  F  ,M,Grade 6,43,50,10,103,81
"""Isha""",Male,M,Grade 6,45,31 marks,63 marks,139,73
ARJUN,Male,  M  ,9,58 marks,89,6 marks,153,82
Arjun,  Male  ,Female,6,60,5,53,118,83
"""Ananya""",FeMale,Female,7,60,32 marks,40 marks,132,76
VIHAAN,FeMale,Male,Grade 2,13,35,82,130,82
Aditi,Maleale,female,8,53,90,27,170,70
ANIKA,feMale,male,1,62,22,50,134,96
"""Navya""",Male,  M  ,2,14,70,41,125,81
"""Saanvi""",  Male  ,1,4,21,69,99,189,85
Anika,1,  F  ,Grade 6,38,96,19,153,94
MYRA,  F  ,  M  ,5,2,83,72 marks,157,92
Arjun,  Male  ,0,3,44,65,95,204,92
'Vihaan',0,male,Grade 1,18 marks,3,66 marks,87,100
"""Saanvi""",Male,  F  ,Grade 4,10,8,64 marks,82,96
Shaurya,  F  ,Female,Grade 9,53,6 marks,25 marks,84,70
Reyansh,FeMale,Female,Grade 7,43 marks,85 marks,81 marks,209,98
"""Isha""",FeMale,F,3,96,72,75,243,90
Aarav,F,male,4,74,71,10 marks,155,86
Shaurya,Male,F,3,38 marks,20 marks,80 marks,138,90
'Reyansh',F,f,3,65,85,72,222,88
KRISHNA,f,m,3,49,97,4 marks,150,86
"""Aditi""",Male,Female,3,18,17,4 marks,39,87
'Reyansh',FeMale,f,11,16,53 marks,8,77,95
"""Ishaan""",f,  M  ,9,71 marks,10,83 marks,164,73
Isha,  Male  ,m,Grade 10,81,10,12,103,94
Shaurya,Male,F,Grade 11,5,43,100 marks,148,91
Arjun,F,M,Grade 7,93,69,24 marks,186,85
"""Aditi""",Male,f,2,55 marks,97,67,219,89
ISHAAN,f,M,5,73,92,49,214,71
Krishna,Male,0,Grade 12,36,52,79 marks,167,82
NAVYA,0,F,9,61 marks,35,96,192,90
Aditi,F,m,2,74,72 marks,68,214,76
Aryan,Male,  F  ,Grade 2,94,10,36,140,72
'Rohan',  F  ,Female,Grade 3,88,37,76,201,97
"""Aryan""",FeMale,m,Grade 3,81,68 marks,20,169,77
'Rohan',Male,Male,4,7,59,21,87,93
Ananya,Maleale,male,Grade 10,55,67,59 marks,181,93
"""Diya""",Male,Male,Grade 9,12,41,0,53,78
Ishaan,Maleale,0,2,32 marks,51,45,128,85
"""Vihaan""",0,  F  ,8,35 marks,46 marks,6 marks,87,82
"""Ishaan""",  F  ,Male,8,81,44,73,198,90
Myra,Maleale,male,10,96,52,93,241,95
Zara,Male,m,5,62 marks,25,66,153,80
ANIKA,Male,F,9,93 marks,84 marks,30 marks,207,76
"""Aarav""",F,male,Grade 1,65,25,42 marks,132,95
ADITI,Male,  F  ,1,44 marks,23 marks,51,118,90
ADVIKA,  F  ,1,8,35 marks,39,98,172,80
REYANSH,1,m,Grade 1,1,100 marks,24 marks,125,90
MYRA,Male,M,12,91,24 marks,25,140,83
"""Arjun""",Male,f,4,56,26 marks,76,158,70
'Arjun',f,M,Grade 3,50 marks,84,93,227,75
ROHAN,Male,  F  ,12,75,58,89 marks,222,76
'Rohan',  F  ,m,3,10 marks,25,35,70,70
Rohan,Male,1,Grade 7,60 marks,94 marks,17,171,79
"""Ananya""",1,M,11,99 marks,75,6,180,73
DIYA,Male,f,Grade 11,89 marks,44 marks,25 marks,158,88
"""Ananya""",f,M,Grade 12,65 marks,60 marks,32,157,79
Advika,Male,male,2,87 marks,30 marks,86,203,82
'Aryan',Male,m,6,76,17,63 marks,156,78
Anika,Male,female,6,64,75,94,233,97
SHAURYA,feMale,  M  ,Grade 11,32,55 marks,7,94,74
"""Ananya""",  Male  ,male,Grade 4,54,89,11 marks,154,86
'Aarav',Male,female,Grade 10,7,13 marks,13,33,72
"""Krishna""",feMale,male,Grade 9,83 marks,79 marks,42 marks,204,89
'Ananya',Male,1,3,87 marks,23,44,154,92
"""Krishna""",1,female,6,3 marks,19,39,61,77
'Kabir',feMale,0,Grade 6,12,30,83,125,93
'Navya',0,1,4,78 marks,73 marks,21,172,78
Ishaan,1,  M  ,9,82 marks,90,9 marks,181,97
"""Ananya""",  Male  ,Female,Grade 8,42,26 marks,76,144,89
"""Navya""",FeMale,  M  ,8,60,45,14 marks,119,72
KABIR,  Male  ,  M  ,Grade 5,9,16,11,36,75
'Zara',  Male  ,Male,Grade 6,45 marks,81,88 marks,214,71
KABIR,Maleale,female,4,12,9,14 marks,35,90
"""Aarav""",feMale,M,11,7,41 marks,45,93,86
'Reyansh',Male,0,Grade 11,51 marks,16 marks,73,140,81
"""Navya""",0,  F  ,Grade 5,59,3,93,155,78
Anika,  F  ,f,3,72,1 marks,56,129,92
"""Rohan""",f,  F  ,Grade 12,99,82 marks,60,241,96
ARYAN,  F  ,  F  ,4,6 marks,25,24 marks,55,80
Reyansh,  F  ,m,12,14,77 marks,58 marks,149,84
'Aditi',Male,male,Grade 5,69 marks,3 marks,57 marks,129,72
"""Saanvi""",Male,  F  ,Grade 5,93,47,42,182,89
"""Reyansh""",  F  ,f,Grade 8,37,6,9 marks,52,72
Kabir,f,F,3,27 marks,78,90 marks,195,94
'Aarav',F,1,2,84,64,65 marks,213,99
ZARA,1,m,Grade 2,84,44 marks,70,198,99
"""Rohan""",Male,female,7,56,99,60,215,93
'Arjun',feMale,1,8,66,63,56 marks,185,95
'Saanvi',1,  M  ,Grade 10,89,58,26 marks,173,100
AARAV,  Male  ,Male,9,42 marks,28,76,146,79
'Shaurya',Maleale,1,5,64,95,26,185,94
Vihaan,1,F,Grade 10,33,13 marks,63,109,72
"""Reyansh""",F,M,8,56,11,0,67,89
'Ishaan',Male,1,11,48,76 marks,67 marks,191,96
"""Rohan""",1,0,Grade 1,92 marks,62,34,188,80
'Aryan',0,  M  ,12,46,84 marks,80,210,86
ARJUN,  Male  ,male,10,17,41 marks,25,83,91
'Diya',Male,M,Grade 7,79,87,23,189,75
Reyansh,Male,  F  ,Grade 8,44 marks,45,60,149,94
NAVYA,  F  ,Male,Grade 6,44,11,34,89,84
"""Ananya""",Maleale,female,8,2,46 marks,71,119,73
"""Saanvi""",feMale,m,6,21,12,40,73,90
Myra,Male,Male,5,48 marks,60,0,108,95
Aarav,Maleale,male,10,46,44,59 marks,149,96
"""Isha""",Male,Male,7,9,58 marks,71 marks,138,84
VIHAAN,Maleale,  M  ,8,52,98 marks,37,187,78
"""Advika""",  Male  ,m,7,18,91,28 marks,137,73
"""Isha""",Male,m,Grade 9,0 marks,33,5,38,81
REYANSH,Male,  M  ,10,14,77,54,145,89
Ananya,  Male  ,M,6,37,12,50 marks,99,76
'Krishna',Male,male,6,45,99 marks,24,168,86
VIHAAN,Male,  M  ,Grade 3,76,29 marks,60 marks,165,90
Reyansh,  Male  ,Female,2,14 marks,27,49 marks,90,90
"""Diya""",FeMale,Female,Grade 7,1,53,80,134,86
'Ananya',FeMale,  M  ,Grade 5,76,86,56,218,76
"""Arjun""",  Male  ,m,9,9,43 marks,1,53,78
ROHAN,Male,Male,Grade 3,18 marks,33 marks,59,110,92
"""Arjun""",Maleale,Female,12,59,80,36,175,100
"""Advika""",FeMale,0,Grade 9,18,56 marks,50,124,100
'Kabir',0,Male,12,81,75 marks,10,166,78
'Reyansh',Maleale,m,4,85 marks,39,16 marks,140,94
'Aarav',Male,1,4,11,6,41,58,97
'Shaurya',1,F,2,81,23,3,107,81
AARAV,F,  M  ,3,18,15,33 marks,66,82
'Aarav',  Male  ,male,12,63,47,98,208,71
'Krishna',Male,female,Grade 3,76,87,46,209,96
Diya,feMale,0,4,98 marks,71,40,209,84
ISHAAN,0,  F  ,4,69 marks,0 marks,3 marks,72,74
Aditi,  F  ,0,7,30,57 marks,92,179,72
"""Navya""",0,f,Grade 1,92,86,62,240,98
ANANYA,f,0,8,78,93,39,210,78
AARAV,0,male,3,77 marks,84,41,202,100
"""Aryan""",Male,1,5,42 marks,3 marks,50,95,74
"""Kabir""",1,m,6,87,90 marks,84,261,89
REYANSH,Male,  M  ,Grade 5,97,5,41,143,78
'Reyansh',  Male  ,Female,3,30 marks,89,38,157,86
Diya,FeMale,1,Grade 5,32,20,67 marks,119,86
Isha,1,0,10,40 marks,49 marks,77,166,97
"""Aarav""",0,Female,Grade 8,78,71 marks,61 marks,210,92
"""Aditi""",FeMale,M,Grade 1,83,95,53 marks,231,70
'Zara',Male,1,Grade 2,47,17,27 marks,91,98
ISHAAN,1,Male,12,84 marks,71,24 marks,179,90
"""Ananya""",Maleale,f,5,99,2,81,182,100
'Aryan',f,Male,10,62 marks,76,25,163,93
"""Myra""",Maleale,Male,1,67,35,71,173,81
ISHAAN,Maleale,Male,Grade 4,10 marks,23,79,112,75
"""Ishaan""",Maleale,M,Grade 10,68 marks,88 marks,32,188,99
'Aditi',Male,male,Grade 9,79,27,97,203,92
Ananya,Male,M,Grade 7,88 marks,15 marks,88,191,74
"""Arjun""",Male,F,5,89 marks,27,97 marks,213,83
"""Krishna""",F,m,11,8 marks,92 marks,38,138,92
"""Aarav""",Male,  M  ,Grade 11,56,26 marks,30 marks,112,89
"""Ananya""",  Male  ,0,Grade 7,6 marks,35 marks,64,105,78
Aryan,0,0,2,85 marks,29,96,210,96
